type,stop_name,stop_lat,stop_lon,route_desc,route_type
Train,"Central Station, Platform 17",-33.88400064,151.2068933,Intercity Trains Network,2
Train,"Central Station, Platform 17",-33.88400064,151.2068933,Sydney Trains Network,2
Train,"Central Station, Platform 18",-33.88405165,151.2069822,Intercity Trains Network,2
Train,"Central Station, Platform 18",-33.88405165,151.2069822,Sydney Trains Network,2
Train,"Central Station, Platform 19",-33.88409404,151.2070599,Intercity Trains Network,2
Train,"Central Station, Platform 19",-33.88409404,151.2070599,Sydney Trains Network,2
Train,"Central Station, Platform 2",-33.88322379,151.2056344,Intercity Trains Network,2
Train,"Central Station, Platform 2",-33.88322379,151.2056344,Sydney Trains Network,2
Train,"Central Station, Platform 20",-33.8841368,151.2071269,Intercity Trains Network,2
Train,"Central Station, Platform 20",-33.8841368,151.2071269,Sydney Trains Network,2
Train,"Central Station, Platform 21",-33.88417883,151.2072153,Sydney Trains Network,2
Train,"Central Station, Platform 22",-33.88422159,151.2072823,Sydney Trains Network,2
Train,"Central Station, Platform 23",-33.88426398,151.20736,Intercity Trains Network,2
Train,"Central Station, Platform 23",-33.88426398,151.20736,Sydney Trains Network,2
Train,"Central Station, Platform 24",-33.88515454,151.2068744,Intercity Trains Network,2
Train,"Central Station, Platform 24",-33.88515454,151.2068744,Sydney Trains Network,2
Train,"Central Station, Platform 25",-33.88530745,151.2068819,Intercity Trains Network,2
Train,"Central Station, Platform 25",-33.88530745,151.2068819,Sydney Trains Network,2
Train,"Central Station, Platform 3",-33.88325756,151.2057009,Intercity Trains Network,2
Train,"Central Station, Platform 3",-33.88325756,151.2057009,Sydney Trains Network,2
Train,"Central Station, Platform 4",-33.88331683,151.2058118,Intercity Trains Network,2
Train,"Central Station, Platform 4",-33.88331683,151.2058118,Sydney Trains Network,2
Train,"Central Station, Platform 5",-33.88335959,151.2058787,Intercity Trains Network,2
Train,"Central Station, Platform 5",-33.88335959,151.2058787,Sydney Trains Network,2
Train,"Central Station, Platform 6",-33.88341813,151.2060112,Intercity Trains Network,2
Train,"Central Station, Platform 6",-33.88341813,151.2060112,Sydney Trains Network,2
Train,"Central Station, Platform 7",-33.88345227,151.2060669,Intercity Trains Network,2
Train,"Central Station, Platform 7",-33.88345227,151.2060669,Sydney Trains Network,2
Train,"Central Station, Platform 8",-33.88351154,151.2061779,Intercity Trains Network,2
Train,"Central Station, Platform 8",-33.88351154,151.2061779,Sydney Trains Network,2
Train,"Central Station, Platform 9",-33.8835543,151.2062448,Intercity Trains Network,2
Train,"Chatswood Station, Platform 1",-33.79746616,151.1810743,Intercity Trains Network,2
Train,"Chatswood Station, Platform 1",-33.79746616,151.1810743,Sydney Trains Network,2
Train,"Chatswood Station, Platform 4",-33.79747531,151.180805,Intercity Trains Network,2
Train,"Chatswood Station, Platform 4",-33.79747531,151.180805,Sydney Trains Network,2
Train,"Cheltenham Station, Platform 1",-33.75563422,151.0785902,Sydney Trains Network,2
Train,"Cheltenham Station, Platform 2",-33.75569969,151.0785178,Sydney Trains Network,2
Train,"Chester Hill Station, Platform 1",-33.8835791,150.9999347,Sydney Trains Network,2
Train,"Chester Hill Station, Platform 2",-33.88364278,150.999916,Sydney Trains Network,2
