type,stop_name,stop_lat,stop_lon,route_desc,route_type,route_color
Train,"Central Station, Platform 12",-33.8837156132751,151.206533599271,Sydney Trains Network,2,0098CD
Train,"Central Station, Platform 12",-33.8837156132751,151.206533599271,Sydney Trains Network,2,D11F2F
Train,"Central Station, Platform 13",-33.8837580049989,151.206611303276,Intercity Trains Network,2,005AA3
Train,"Central Station, Platform 13",-33.8837580049989,151.206611303276,Sydney Trains Network,2,D11F2F
Train,"Central Station, Platform 16",-33.8839665011178,151.206837611434,Intercity Trains Network,2,D11F2F
Train,"Central Station, Platform 16",-33.8839665011178,151.206837611434,Sydney Trains Network,2,005AA3
Train,"Central Station, Platform 16",-33.8839665011178,151.206837611434,Sydney Trains Network,2,00954C
Train,"Central Station, Platform 16",-33.8839665011178,151.206837611434,Sydney Trains Network,2,0098CD
Train,"Central Station, Platform 16",-33.8839665011178,151.206837611434,Sydney Trains Network,2,D11F2F
Train,"Central Station, Platform 16",-33.8839665011178,151.206837611434,Sydney Trains Network,2,F99D1C
Train,"Central Station, Platform 17",-33.8840006356439,151.206893304099,Intercity Trains Network,2,D11F2F
Train,"Central Station, Platform 17",-33.8840006356439,151.206893304099,Intercity Trains Network,2,F99D1C
Train,"Central Station, Platform 17",-33.8840006356439,151.206893304099,Sydney Trains Network,2,00954C
Train,"Central Station, Platform 17",-33.8840006356439,151.206893304099,Sydney Trains Network,2,0098CD
Train,"Central Station, Platform 17",-33.8840006356439,151.206893304099,Sydney Trains Network,2,F37021
Train,"Central Station, Platform 18",-33.8840516529415,151.206982235538,Intercity Trains Network,2,D11F2F
Train,"Central Station, Platform 18",-33.8840516529415,151.206982235538,Intercity Trains Network,2,F99D1C
Train,"Central Station, Platform 18",-33.8840516529415,151.206982235538,Sydney Trains Network,2,005AA3
Train,"Central Station, Platform 18",-33.8840516529415,151.206982235538,Sydney Trains Network,2,00954C
Train,"Central Station, Platform 18",-33.8840516529415,151.206982235538,Sydney Trains Network,2,0098CD
Train,"Central Station, Platform 18",-33.8840516529415,151.206982235538,Sydney Trains Network,2,D11F2F
Train,"Central Station, Platform 18",-33.8840516529415,151.206982235538,Sydney Trains Network,2,F99D1C
