address,price,sold_date,property_type,bedrooms,bathrooms,parking,land_size
"12/39 Cowper Street, Parramatta NSW 2150",630000,25/07/2024,unit,2,2,1,
"1402/11 Hassall Street, Parramatta NSW 2150",707000,25/07/2024,apartment,2,2,1,
"2209/88 Church Street, Parramatta NSW 2150",818000,25/07/2024,apartment,2,2,1,
"B8/88 Marsden Street, Parramatta NSW 2150",560000,25/07/2024,apartment,2,2,1,
"13 DENISON STREET, Parramatta NSW 2150",2270000,25/07/2024,house,6,3,4,
"2/26 Early St, Parramatta NSW 2150",550000,23/07/2024,unit,2,1,1,
"2/20 Lennox Street, Parramatta NSW 2150",545000,22/07/2024,apartment,2,1,2,
"101/165-167 Pennant Street, Parramatta NSW 2150",660000,22/07/2024,apartment,2,2,1,
"109/3 Sorrell Street, Parramatta NSW 2150",800000,22/07/2024,apartment,2,2,1,132 m2
"1226/2 Morton Street, Parramatta NSW 2150",705000,22/07/2024,apartment,2,2,1,
"1401/29 Hunter Street, Parramatta NSW 2150",490000,21/07/2024,apartment,2,2,1,
"60 Pemberton Street, Parramatta NSW 2150",2025000,20/07/2024,house,6,2,2,607 m2
"36 Pemberton Street, Parramatta NSW 2150",2670000,20/07/2024,house,5,3,2,
"146/22-32 Great western Highway, Parramatta NSW 2150",275000,19/07/2024,studio,,1,1,
"23/1 Good Street, Parramatta NSW 2150",535000,19/07/2024,unit,2,1,1,
"620K/2 Morton Street, Parramatta NSW 2150",645000,18/07/2024,apartment,2,2,1,
"711/36-46 Cowper Street, Parramatta NSW 2150",626000,18/07/2024,apartment,2,2,1,
"807/45 Macquarie Street, Parramatta NSW 2150",570000,17/07/2024,apartment,1,1,1,
"6306/1A Morton St, Parramatta NSW 2150",810000,16/07/2024,apartment,3,2,2,
"180/13-15 Hassall Street, Parramatta NSW 2150",590000,16/07/2024,apartment,2,2,1,
"302/11 Hassall Street, Parramatta NSW 2150",680000,16/07/2024,apartment,2,2,1,100 m2
"7M/15 Campbell Street, Parramatta NSW 2150",430000,16/07/2024,apartment,1,1,1,
"20/32 Early Street, Parramatta NSW 2150",510000,15/07/2024,unit,2,1,1,
"404/140 Church Street, Parramatta NSW 2150",640000,13/07/2024,apartment,2,2,1,
"7/22-24 Thomas Street, Parramatta NSW 2150",630000,13/07/2024,unit,2,1,2,
"4/32 Tennyson Street, Parramatta NSW 2150",580000,12/07/2024,apartment,2,2,1,
"402/25 Campbell Street, Parramatta NSW 2150",645000,12/07/2024,apartment,2,2,1,
"530/2K Morton Street, Parramatta NSW 2150",530000,12/07/2024,apartment,1,1,1,
"24/109-113 George Street, Parramatta NSW 2150",610000,12/07/2024,apartment,2,2,1,
"603a/8 Cowper Street, Parramatta NSW 2150",687500,11/07/2024,apartment,2,2,1,
"1/22-24 Tennyson street, Parramatta NSW 2150",590000,10/07/2024,apartment,2,2,1,159 m2
"701A/3 Broughton Street, Parramatta NSW 2150",660000,10/07/2024,apartment,2,2,1,
"1510/12 Phillip Street, Parramatta NSW 2150",560000,10/07/2024,unit,1,1,,
"2641/180 George Street, Parramatta NSW 2150",555000,9/07/2024,apartment,1,1,,
"18/346 Church Street, Parramatta NSW 2150",715000,9/07/2024,apartment,2,2,1,
"15/22-24 THOMAS ST, Parramatta NSW 2150",620000,9/07/2024,unit,2,1,2,
"32/18-20 Great Western Highway, Parramatta NSW 2150",468000,8/07/2024,apartment,2,1,1,
"213/2J Morton Street, Parramatta NSW 2150",650000,8/07/2024,apartment,2,2,1,
"1142/180 George Street, Parramatta NSW 2150",645000,8/07/2024,apartment,1,1,1,
"802/6 River Road West, Parramatta NSW 2150",445000,6/07/2024,apartment,1,1,1,
"3216/1A Morton Street, Parramatta NSW 2150",595000,6/07/2024,apartment,2,2,1,
"21/23-33 Napier Street, Parramatta NSW 2150",628000,5/07/2024,unit,2,2,1,
"6/72 Marsden Street, Parramatta NSW 2150",791000,5/07/2024,unit,3,2,1,
"7/34-36 Napier Street, Parramatta NSW 2150",635000,5/07/2024,unit,2,2,1,
"14/3-7 O'Reilly Street, Parramatta NSW 2150",635000,5/07/2024,apartment,2,1,1,
"18/39-41 Victoria Road, Parramatta NSW 2150",596000,2/07/2024,unit,2,2,1,
"908/88 Church Street, Parramatta NSW 2150",800000,2/07/2024,apartment,2,2,1,
"140/22-32 Great Western Highway, Parramatta NSW 2150",240000,,studio,1,1,1,
"17/22-24 Tennyson Street, Parramatta NSW 2150",600000,,apartment,2,2,1,112 m2
"5/1 Early Street, Parramatta NSW 2150",598000,29/06/2024,unit,3,1,1,
"102A Crimea Street, Parramatta NSW 2150",1100000,29/06/2024,house,3,1,2,307 m2
"601C/3 Broughton Street, Parramatta NSW 2150",505000,28/06/2024,apartment,1,1,1,
"219/88 Church Street, Parramatta NSW 2150",620000,28/06/2024,apartment,1,1,1,
"E613/1 Broughton Street, Parramatta NSW 2150",670000,28/06/2024,apartment,2,2,1,
"D202/1 Broughton Street, Parramatta NSW 2150",665000,28/06/2024,apartment,2,2,1,
"2512/1A Morton Street, Parramatta NSW 2150",650000,28/06/2024,apartment,2,2,1,
"55/68 Macarthur Street, Parramatta NSW 2150",485000,28/06/2024,unit,1,1,1,
"12/1 Valentine Avenue, Parramatta NSW 2150",218000,27/06/2024,studio,,1,,
"15/6 Sorrell Street, Parramatta NSW 2150",680000,27/06/2024,apartment,2,2,1,
"6/12 Early Street, Parramatta NSW 2150",515000,27/06/2024,apartment,2,1,1,
"63/68 Macarthur Street, Parramatta NSW 2150",699000,26/06/2024,unit,3,2,1,
"8D/15 Campbell Street, Parramatta NSW 2150",330000,26/06/2024,apartment,1,1,1,
"3/4 O'Reilly Street, Parramatta NSW 2150",385000,25/06/2024,apartment,2,1,1,
"1209/36-46 Cowper Street, Parramatta NSW 2150",625000,25/06/2024,apartment,2,2,1,
"Address available on request, Parramatta NSW 2150",1500000,24/06/2024,house,5,2,5,
"18/32 Hassall Street, Parramatta NSW 2150",580000,21/06/2024,apartment,2,2,1,
"507/330 Church Street, Parramatta NSW 2150",680000,21/06/2024,apartment,2,2,1,
"3/9-11 Cowper Street, Parramatta NSW 2150",653000,21/06/2024,apartment,2,2,1,147 m2
"11/75-77 Great Western Highway, Parramatta NSW 2150",542000,21/06/2024,unit,2,2,1,
"2110/1A Morton Street, Parramatta NSW 2150",595000,20/06/2024,apartment,2,2,1,166 m2
"97/22-32 Great Western Highway, Parramatta NSW 2150",270000,20/06/2024,studio,1,1,1,
"7602/1A Morton Street, Parramatta NSW 2150",490000,20/06/2024,unit,1,1,1,
"2203/330 Church Street, Parramatta NSW 2150",650000,19/06/2024,apartment,1,1,1,
"3/11-15 Villiers Street, Parramatta NSW 2150",300000,18/06/2024,studio,1,1,1,
"6/20 Henry Street, Parramatta NSW 2150",727000,17/06/2024,unit,2,2,1,
"22/76 Great Western Highway, Parramatta NSW 2150",565000,15/06/2024,apartment,2,1,1,
"37/17-25 Elizabeth Street, Parramatta NSW 2150",550000,15/06/2024,unit,2,1,1,
"1013C/3 Broughton Street, Parramatta NSW 2150",653500,15/06/2024,apartment,2,2,1,
"11 1112C/3 Broughton St, Parramatta NSW 2150",630000,15/06/2024,apartment,2,2,2,
"H1206/2 Morton Street, Parramatta NSW 2150",702500,15/06/2024,apartment,2,2,1,
"8/18-20 Pitt Street, Parramatta NSW 2150",600000,14/06/2024,unit,2,2,1,
"5B/15 Campbell Street, Parramatta NSW 2150",390000,14/06/2024,apartment,1,1,1,60 m2
"1009/12-14 Phillip Street, Parramatta NSW 2150",440000,13/06/2024,studio,1,1,,
"15 Marion Street, Parramatta NSW 2150",725000,13/06/2024,duplex-semi-detached,2,2,1,
"79/13-15 Hassall St, Parramatta NSW 2150",430000,13/06/2024,apartment,1,1,,
"1/69-71 High Street, Parramatta NSW 2150",640000,13/06/2024,apartment,2,1,1,186 m2
"8/22-24 Thomas Street, Parramatta NSW 2150",628000,13/06/2024,unit,2,1,2,
"15/3 Good Street, Parramatta NSW 2150",600000,12/06/2024,apartment,2,2,1,
