lganame,councilnam,suburbname,postcode,percentage,,,,LGA_WRONG,,FIX,LGA_NEIGHBOR_WRONG
BALLINA,BALLINA SHIRE COUNCIL,WOLLONGBAR,2477,100,,,,SHOALHAVEN,,,"EUROBODALLA, GOULBURN MULWAREE, KIAMA, QUEANBEYAN-PALERANG REGIONAL, SHOALHAVEN, WINGECARRIBEE"
BALRANALD,BALRANALD SHIRE COUNCIL,ARUMPO,2715,45.42777495,,,,SINGLETON,,,"CESSNOCK, DUNGOG, HAWKESBURY, LITHGOW CITY, MAITLAND, MID-WESTERN REGIONAL, MUSWELLBROOK, SINGLETON, UPPER HUNTER"
BALRANALD,BALRANALD SHIRE COUNCIL,BALRANALD,2715,100,,,,SNOWY MONARO REGIONAL REGIONAL,,SNOWY MONARO REGIONAL REGIONAL,"BEGA VALLEY, EUROBODALLA, QUEANBEYAN-PALERANG REGIONAL, SNOWY MONARO REGIONAL, SNOWY VALLEYS"
BALRANALD,BALRANALD SHIRE COUNCIL,BOOLIGAL,2711,20.55121295,,,,SNOWY VALLEYS,,,"COOTAMUNDRA-GUNDAGAI REGIONAL, GREATER HUME SHIRE, SNOWY MONARO REGIONAL, SNOWY VALLEYS, WAGGA WAGGA, YASS VALLEY"
BALRANALD,BALRANALD SHIRE COUNCIL,CLARE,2711,100,,,,STRATHFIELD,,,"BURWOOD, CANADA BAY, CANTERBURY-BANKSTOWN, CUMBERLAND, CITY OF PARRAMATTA, STRATHFIELD"
BALRANALD,BALRANALD SHIRE COUNCIL,CORRONG,2711,100,,,,SUTHERLAND SHIRE SHIRE,,SUTHERLAND SHIRE SHIRE,"CAMPBELLTOWN, CANTERBURY-BANKSTOWN, LIVERPOOL, SUTHERLAND SHIRE, WOLLONGONG"
BALRANALD,BALRANALD SHIRE COUNCIL,EUSTON,2737,92.75810718,,,,SYDNEY,,,"BAYSIDE (NSW), INNER WEST, RANDWICK, SYDNEY, WOOLLAHRA"
BALRANALD,BALRANALD SHIRE COUNCIL,HATFIELD,2715,100,,,,TAMWORTH REGIONAL REGIONAL,,TAMWORTH REGIONAL REGIONAL,"GUNNEDAH, GWYDIR, LIVERPOOL PLAINS, NARRABRI, TAMWORTH REGIONAL, UPPER HUNTER, URALLA, WALCHA"
BALRANALD,BALRANALD SHIRE COUNCIL,IVANHOE,2878,8.042980372,,,,TEMORA,,,"BLAND, COOLAMON, COOTAMUNDRA-GUNDAGAI REGIONAL, HILLTOPS, JUNEE, TEMORA"
BALRANALD,BALRANALD SHIRE COUNCIL,KYALITE,2715,27.21000909,,,,TENTERFIELD,,,"CLARENCE VALLEY, GLEN INNES SEVERN, INVERELL, KYOGLE, TENTERFIELD"
BALRANALD,BALRANALD SHIRE COUNCIL,MOSSGIEL,2878,13.86944699,,,,THE HILLS SHIRE SHIRE,,THE HILLS SHIRE SHIRE,"BLACKTOWN, CENTRAL COAST, HAWKESBURY, HORNSBY, CITY OF PARRAMATTA, THE HILLS SHIRE"
BALRANALD,BALRANALD SHIRE COUNCIL,MUNGO,2715,100,,,,TWEED,,,"BYRON, KYOGLE, LISMORE, TWEED"
BALRANALD,BALRANALD SHIRE COUNCIL,OXLEY,2711,100,,,,UPPER HUNTER,,,"DUNGOG, LIVERPOOL PLAINS, MID-COAST, MID-WESTERN REGIONAL, MUSWELLBROOK, SINGLETON, TAMWORTH REGIONAL, UPPER HUNTER, WALCHA, WARRUMBUNGLE"
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,ABERCROMBIE,2795,100,,,,UPPER LACHLAN SHIRE SHIRE,,UPPER LACHLAN SHIRE SHIRE,"BATHURST REGIONAL, COWRA, GOULBURN MULWAREE, HILLTOPS, OBERON, QUEANBEYAN-PALERANG REGIONAL, UPPER LACHLAN SHIRE, WINGECARRIBEE, WOLLONDILLY, YASS VALLEY"
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,ABERCROMBIE RIVER,2795,100,,,,URALLA,,,"ARMIDALE REGIONAL, GWYDIR, INVERELL, TAMWORTH REGIONAL, URALLA, WALCHA"
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,ARKELL,2795,99.97472758,,,,WAGGA WAGGA,,,"COOLAMON, COOTAMUNDRA-GUNDAGAI REGIONAL, GREATER HUME SHIRE, JUNEE, LOCKHART, NARRANDERA, SNOWY VALLEYS, WAGGA WAGGA"
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,BALD RIDGE,2795,13.57034005,,,,WALCHA,,,"ARMIDALE REGIONAL, KEMPSEY, MID-COAST, PORT MACQUARIE-HASTINGS, TAMWORTH REGIONAL, UPPER HUNTER, URALLA, WALCHA"
